Zeit;Kanal A;Kanal B
(ms);(V);(A)

-4,95891195;0,00000000;0,00000000
-4,95879995;0,00000000;0,00000000
-4,95868795;-1,96850395;0,00000000
-4,95857595;0,00000000;0,00000000
-4,95846395;0,00000000;0,00000000
-4,95835195;0,00000000;-3,93700790
-4,95823995;0,00000000;0,00000000
-4,95812795;0,00000000;0,00000000
-4,95801595;0,00000000;0,00000000
-4,95790395;0,00000000;0,00000000
-4,95779195;0,00000000;0,00000000
-4,95767995;0,00000000;0,00000000
-4,95756795;-1,96850395;0,00000000
-4,95745595;0,00000000;-3,93700790
-4,95734395;0,00000000;-3,93700790
-4,95723195;-1,96850395;0,00000000
-4,95711995;0,00000000;-3,93700790
-4,95700795;0,00000000;0,00000000
-4,95689595;0,00000000;0,00000000
-4,95678395;0,00000000;0,00000000
-4,95667195;0,00000000;0,00000000
-4,95655995;0,00000000;0,00000000
-4,95644795;0,00000000;0,00000000
-4,95633595;0,00000000;0,00000000
-4,95622395;-1,96850395;-3,93700790
-4,95611195;0,00000000;0,00000000
-4,95599995;0,00000000;0,00000000
-4,95588795;0,00000000;0,00000000
-4,95577595;0,00000000;0,00000000
-4,95566395;0,00000000;0,00000000
-4,95555195;0,00000000;-3,93700790
-4,95543995;0,00000000;0,00000000
-4,95532795;0,00000000;0,00000000
-4,95521595;-1,96850395;0,00000000
-4,95510395;0,00000000;0,00000000
-4,95499195;0,00000000;0,00000000
-4,95487995;-1,96850395;0,00000000
-4,95476795;0,00000000;-3,93700790
-4,95465595;-1,96850395;-3,93700790
-4,95454395;0,00000000;-3,93700790
-4,95443195;-1,96850395;0,00000000
-4,95431995;0,00000000;0,00000000
-4,95420795;0,00000000;0,00000000
-4,95409595;0,00000000;-3,93700790
-4,95398395;0,00000000;0,00000000
-4,95387195;-1,96850395;0,00000000
-4,95375995;0,00000000;-3,93700790
-4,95364795;0,00000000;0,00000000
-4,95353595;0,00000000;-3,93700790
-4,95342395;0,00000000;0,00000000
-4,95331195;0,00000000;-3,93700790
-4,95319995;0,00000000;0,00000000
-4,95308795;0,00000000;-3,93700790
-4,95297595;-1,96850395;0,00000000
-4,95286395;0,00000000;-3,93700790
-4,95275195;0,00000000;0,00000000
-4,95263995;0,00000000;-3,93700790
-4,95252795;0,00000000;0,00000000
-4,95241595;-1,96850395;-3,93700790
-4,95230395;0,00000000;0,00000000
-4,95219195;-1,96850395;0,00000000
-4,95207995;0,00000000;0,00000000
-4,95196795;0,00000000;0,00000000
-4,95185595;0,00000000;0,00000000
-4,95174395;0,00000000;-3,93700790
-4,95163195;-1,96850395;0,00000000
-4,95151995;0,00000000;0,00000000
-4,95140795;0,00000000;-3,93700790
-4,95129595;0,00000000;0,00000000
-4,95118395;0,00000000;0,00000000
-4,95107195;0,00000000;0,00000000
-4,95095995;0,00000000;0,00000000
-4,95084795;0,00000000;-3,93700790
-4,95073595;0,00000000;0,00000000
-4,95062395;0,00000000;0,00000000
-4,95051195;0,00000000;0,00000000
-4,95039995;-1,96850395;-3,93700790
-4,95028795;0,00000000;0,00000000
-4,95017595;0,00000000;0,00000000
-4,95006395;0,00000000;0,00000000
-4,94995195;0,00000000;0,00000000
-4,94983995;0,00000000;0,00000000
-4,94972795;0,00000000;0,00000000
-4,94961595;0,00000000;0,00000000
-4,94950395;0,00000000;-3,93700790
-4,94939195;0,00000000;0,00000000
-4,94927995;-1,96850395;0,00000000
-4,94916795;0,00000000;0,00000000
-4,94905595;0,00000000;-3,93700790
-4,94894395;0,00000000;0,00000000
-4,94883195;0,00000000;0,00000000
-4,94871995;0,00000000;-3,93700790
-4,94860795;0,00000000;0,00000000
-4,94849595;0,00000000;-3,93700790
-4,94838395;-1,96850395;-3,93700790
-4,94827195;0,00000000;0,00000000
-4,94815995;0,00000000;-3,93700790
-4,94804795;0,00000000;-3,93700790
-4,94793595;0,00000000;0,00000000
-4,94782395;0,00000000;0,00000000
-4,94771195;0,00000000;-3,93700790
-4,94759995;0,00000000;-3,93700790
-4,94748795;-1,96850395;-3,93700790
-4,94737595;-1,96850395;0,00000000
-4,94726395;0,00000000;-3,93700790
-4,94715195;0,00000000;0,00000000
-4,94703995;0,00000000;-3,93700790
-4,94692795;0,00000000;0,00000000
-4,94681595;0,00000000;-3,93700790
-4,94670395;0,00000000;0,00000000
-4,94659195;0,00000000;-3,93700790
-4,94647995;0,00000000;0,00000000
-4,94636795;0,00000000;0,00000000
-4,94625595;0,00000000;0,00000000
-4,94614395;0,00000000;0,00000000
-4,94603195;0,00000000;0,00000000
-4,94591995;-1,96850395;0,00000000
-4,94580795;0,00000000;0,00000000
-4,94569595;0,00000000;0,00000000
-4,94558395;0,00000000;0,00000000
-4,94547195;0,00000000;0,00000000
-4,94535995;0,00000000;0,00000000
-4,94524795;0,00000000;-3,93700790
-4,94513595;0,00000000;0,00000000
-4,94502395;0,00000000;0,00000000
-4,94491195;0,00000000;-3,93700790
-4,94479995;0,00000000;0,00000000
-4,94468795;0,00000000;-3,93700790
-4,94457595;0,00000000;0,00000000
-4,94446395;0,00000000;0,00000000
-4,94435195;0,00000000;0,00000000
-4,94423995;0,00000000;0,00000000
-4,94412795;0,00000000;0,00000000
-4,94401595;0,00000000;0,00000000
-4,94390395;0,00000000;0,00000000
-4,94379195;0,00000000;-3,93700790
-4,94367995;0,00000000;-3,93700790
-4,94356795;0,00000000;0,00000000
-4,94345595;0,00000000;0,00000000
-4,94334395;0,00000000;0,00000000
-4,94323195;0,00000000;0,00000000
-4,94311995;0,00000000;0,00000000
-4,94300795;0,00000000;0,00000000
-4,94289595;0,00000000;0,00000000
-4,94278395;0,00000000;0,00000000
-4,94267195;0,00000000;0,00000000
-4,94255995;0,00000000;0,00000000
-4,94244795;-1,96850395;0,00000000
-4,94233595;-1,96850395;0,00000000
-4,94222395;0,00000000;0,00000000
-4,94211195;0,00000000;0,00000000
-4,94199995;0,00000000;0,00000000
-4,94188795;0,00000000;-3,93700790
-4,94177595;0,00000000;-3,93700790
-4,94166395;0,00000000;0,00000000
-4,94155195;0,00000000;0,00000000
-4,94143995;0,00000000;0,00000000
-4,94132795;0,00000000;0,00000000
-4,94121595;0,00000000;-3,93700790
-4,94110395;0,00000000;-3,93700790
-4,94099195;0,00000000;-3,93700790
-4,94087995;0,00000000;-3,93700790
-4,94076795;0,00000000;0,00000000
-4,94065595;-1,96850395;0,00000000
-4,94054395;-1,96850395;-3,93700790
-4,94043195;0,00000000;0,00000000
-4,94031995;0,00000000;0,00000000
-4,94020795;0,00000000;0,00000000
-4,94009595;-1,96850395;0,00000000
-4,93998395;0,00000000;0,00000000
-4,93987195;0,00000000;0,00000000
-4,93975995;0,00000000;-3,93700790
-4,93964795;0,00000000;-3,93700790
-4,93953595;0,00000000;0,00000000
-4,93942395;0,00000000;0,00000000
-4,93931195;0,00000000;-3,93700790
-4,93919995;0,00000000;-3,93700790
-4,93908795;0,00000000;0,00000000
-4,93897595;0,00000000;0,00000000
-4,93886395;0,00000000;-3,93700790
-4,93875195;0,00000000;-3,93700790
-4,93863995;0,00000000;0,00000000
-4,93852795;0,00000000;0,00000000
-4,93841595;0,00000000;0,00000000
-4,93830395;0,00000000;-3,93700790
-4,93819195;0,00000000;0,00000000
-4,93807995;0,00000000;-3,93700790
-4,93796795;0,00000000;0,00000000
-4,93785595;0,00000000;-3,93700790
-4,93774395;0,00000000;0,00000000
-4,93763195;0,00000000;-3,93700790
-4,93751995;0,00000000;0,00000000
-4,93740795;0,00000000;0,00000000
-4,93729595;0,00000000;0,00000000
-4,93718395;0,00000000;0,00000000
-4,93707195;0,00000000;0,00000000
-4,93695995;0,00000000;0,00000000
-4,93684795;0,00000000;0,00000000
-4,93673595;0,00000000;0,00000000
-4,93662395;0,00000000;0,00000000
-4,93651195;0,00000000;0,00000000
-4,93639995;-1,96850395;-3,93700790
-4,93628795;0,00000000;0,00000000
-4,93617595;0,00000000;0,00000000
-4,93606395;-1,96850395;0,00000000
-4,93595195;0,00000000;0,00000000
-4,93583995;0,00000000;-3,93700790
-4,93572795;0,00000000;0,00000000
-4,93561595;0,00000000;0,00000000
-4,93550395;0,00000000;0,00000000
-4,93539195;0,00000000;0,00000000
-4,93527995;0,00000000;0,00000000
-4,93516795;-1,96850395;0,00000000
-4,93505595;0,00000000;0,00000000
-4,93494395;-1,96850395;-3,93700790
-4,93483195;0,00000000;0,00000000
-4,93471995;-1,96850395;-3,93700790
-4,93460795;0,00000000;-3,93700790
-4,93449595;0,00000000;0,00000000
-4,93438395;0,00000000;0,00000000
-4,93427195;-1,96850395;0,00000000
-4,93415995;0,00000000;0,00000000
-4,93404795;0,00000000;0,00000000
-4,93393595;0,00000000;0,00000000
-4,93382395;0,00000000;0,00000000
-4,93371195;0,00000000;-3,93700790
-4,93359995;0,00000000;0,00000000
-4,93348795;0,00000000;0,00000000
-4,93337595;-1,96850395;0,00000000
-4,93326395;0,00000000;-3,93700790
-4,93315195;0,00000000;0,00000000
-4,93303995;0,00000000;0,00000000
-4,93292795;0,00000000;0,00000000
-4,93281595;0,00000000;-3,93700790
-4,93270395;0,00000000;0,00000000
-4,93259195;0,00000000;-3,93700790
-4,93247995;0,00000000;-3,93700790
-4,93236795;0,00000000;-3,93700790
-4,93225595;-1,96850395;0,00000000
-4,93214395;-1,96850395;-3,93700790
-4,93203195;0,00000000;-3,93700790
-4,93191995;0,00000000;-3,93700790
-4,93180795;0,00000000;0,00000000
-4,93169595;0,00000000;0,00000000
-4,93158395;0,00000000;0,00000000
-4,93147195;0,00000000;0,00000000
-4,93135995;-1,96850395;0,00000000
-4,93124795;0,00000000;0,00000000
-4,93113595;0,00000000;0,00000000
-4,93102395;0,00000000;0,00000000
-4,93091195;0,00000000;0,00000000
-4,93079995;0,00000000;0,00000000
-4,93068795;0,00000000;0,00000000
