Zeit;Kanal A
(ms);(V)

-0,97923196;0,00000000
-0,97919996;-0,07874016
-0,97916796;-0,07874016
-0,97913596;0,00000000
-0,97910396;-0,15748031
-0,97907196;0,00000000
-0,97903996;0,00000000
-0,97900796;-0,07874016
-0,97897596;0,00000000
-0,97894396;0,00000000
-0,97891196;-0,07874016
-0,97887996;-0,07874016
-0,97884796;-0,07874016
-0,97881596;0,00000000
-0,97878396;-0,07874016
-0,97875196;0,00000000
-0,97871996;-0,07874016
-0,97868796;-0,07874016
-0,97865596;-0,07874016
-0,97862396;-0,07874016
-0,97859196;-0,07874016
-0,97855996;0,00000000
-0,97852796;0,00000000
-0,97849596;0,00000000
-0,97846396;0,00000000
-0,97843196;-0,07874016
-0,97839996;-0,07874016
-0,97836796;0,00000000
-0,97833596;-0,07874016
-0,97830396;0,00000000
-0,97827196;0,00000000
-0,97823996;-0,07874016
-0,97820796;-0,07874016
-0,97817596;-0,07874016
-0,97814396;-0,07874016
-0,97811196;0,00000000
-0,97807996;-0,15748031
-0,97804796;0,00000000
-0,97801596;-0,07874016
-0,97798396;-0,07874016
-0,97795196;-0,07874016
-0,97791996;-0,07874016
-0,97788796;-0,07874016
-0,97785596;0,00000000
-0,97782396;-0,07874016
-0,97779196;0,07874016
-0,97775996;-0,07874016
-0,97772796;-0,07874016
-0,97769596;0,00000000
-0,97766396;0,00000000
-0,97763196;0,00000000
-0,97759996;0,00000000
-0,97756796;-0,07874016
-0,97753596;0,00000000
-0,97750396;-0,07874016
-0,97747196;-0,07874016
-0,97743996;-0,07874016
-0,97740796;0,00000000
-0,97737596;0,00000000
-0,97734396;0,00000000
-0,97731196;-0,07874016
-0,97727996;-0,07874016
-0,97724796;-0,07874016
-0,97721596;0,00000000
-0,97718396;0,00000000
-0,97715196;0,00000000
-0,97711996;-0,07874016
-0,97708796;-0,07874016
-0,97705596;-0,07874016
-0,97702396;-0,07874016
-0,97699196;0,00000000
-0,97695996;-0,07874016
-0,97692796;-0,07874016
-0,97689596;0,00000000
-0,97686396;-0,07874016
-0,97683196;-0,07874016
-0,97679996;0,00000000
-0,97676796;0,00000000
-0,97673596;-0,07874016
-0,97670396;0,00000000
-0,97667196;-0,07874016
-0,97663996;0,00000000
-0,97660796;0,00000000
-0,97657596;0,00000000
-0,97654396;-0,07874016
-0,97651196;0,00000000
-0,97647996;0,00000000
-0,97644796;0,00000000
-0,97641596;0,00000000
-0,97638396;-0,07874016
-0,97635196;-0,07874016
-0,97631996;-0,15748031
-0,97628796;0,00000000
-0,97625596;0,00000000
-0,97622396;0,00000000
-0,97619196;-0,07874016
-0,97615996;0,00000000
-0,97612796;-0,07874016
-0,97609596;-0,07874016
-0,97606396;0,00000000
-0,97603196;-0,07874016
-0,97599996;0,00000000
-0,97596796;-0,07874016
-0,97593596;-0,07874016
-0,97590396;-0,15748031
-0,97587196;0,00000000
-0,97583996;0,00000000
